arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,99.99998474121094,45.54762624848376,1,88.371805,537248,17.101673714932396,EXAFEL,85.528747,100.0,10.0,exafel_f000,99.99998474121094,45.56393390629392,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b2,n/a,2137.54150390625,43.15932762176013,2,110.64355,94432,97.29583192138259,EXAFEL,108.79878,100.0,10.0,exafel_f000,2137.54150390625,43.17572530797857,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszhi,1,9.999996185302734,63.84592930131675,1,27.349686476285164,1066507,8.61488954127821,EXAFEL,29.978595666927696,100.0,10.0,exafel_f000,9.999996185302734,63.845930901534885,4,108,1,0.37967574533296183,9.994696855545044,8721,63.84635079136871,ok,spline/cr-first/cr,8963.193359375
pfpl,1,9.999984741210938,64.83178648402334,1,176.96147919876734,1247861,7.362871345446328,EXAFEL,159.06925207756234,100.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszp3,1,9.999984741210938,64.83178648402334,1,139.24345,1323696,6.941049908740376,EXAFEL,135.62588,100.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b1,1,99.99993896484375,47.09100232845898,1,86.248123,654304,14.042157773756541,EXAFEL,81.893898,100.0,10.0,exafel_f001,99.99993896484375,47.101280975743855,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
roibin_b2,n/a,3640.4931640625,44.158472718800915,2,113.39653,118464,77.55807671528903,EXAFEL,100.28642,100.0,10.0,exafel_f001,3640.4931640625,44.16880729538768,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszhi,1,9.999987602233887,66.53637620922768,1,27.18356176542379,1171030,7.845947584605006,EXAFEL,30.282128355218056,100.0,10.0,exafel_f001,9.999987602233887,66.5364223000752,4,68,1,0.23901156310950125,9.99908447265625,5490,66.55570298721969,ok,spline/cr-first/cr,12237.861328125
pfpl,1,10.0,67.04594218609664,1,177.17988275223698,1368753,6.712562456484114,EXAFEL,162.0316027088036,100.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszp3,1,10.0,67.04594218609664,1,138.50459,1407632,6.527160507860009,EXAFEL,134.48244,100.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
roibin_b1,1,99.9999008178711,45.271322910886646,1,84.521636,771664,11.906529266623815,EXAFEL,88.019622,100.0,10.0,exafel_f002,99.9999008178711,45.2745970992709,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
roibin_b2,n/a,1478.022705078125,41.10193971273169,2,117.09625,167984,54.69473283169825,EXAFEL,105.67538,100.0,10.0,exafel_f002,1478.022705078125,41.10523369600396,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
cuszhi,1,10.0,65.36163513080488,1,27.344436375757436,1331260,6.901612006670373,EXAFEL,28.942089612418734,100.0,10.0,exafel_f002,10.0,65.36167837421608,4,22,1,0.07610058512120367,9.991592407226562,1748,65.41883388714847,ok,spline/cr-first/cr,10702.7490234375
pfpl,1,10.0,65.49991659538827,1,177.50850077279753,1533981,5.9895396357582005,EXAFEL,160.13385387618516,100.0,10.0,exafel_f002,10.0,65.49984318144064,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
cuszp3,1,10.0,65.49991659538827,1,136.14035,1578272,5.82145536384096,EXAFEL,134.16822,100.0,10.0,exafel_f002,10.0,65.49984318144064,4,22,1,0.07610058512120367,9.99664306640625,1748,65.40450200538336,ok,,10702.7490234375
roibin_b1,1,99.99996948242188,48.136091979849176,1,88.535306,769056,11.946906337119794,EXAFEL,89.001863,100.0,10.0,exafel_f003,99.99996948242188,48.14155759305733,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
roibin_b2,n/a,2545.838623046875,44.073511789572095,2,112.20008,167584,54.82528164979951,EXAFEL,98.768489,100.0,10.0,exafel_f003,2545.838623046875,44.079008557029454,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
cuszhi,1,10.0,68.21411851289567,1,27.485255734296587,1323904,6.939959392826066,EXAFEL,29.082805773613572,100.0,10.0,exafel_f003,10.0,68.21408130775136,4,36,1,0.12695040401225968,9.998273849487305,2916,68.18490999490845,ok,spline/cr-first/cr,14852.6728515625
pfpl,1,9.999984741210938,68.35732366831168,1,176.85247921157992,1527492,6.014984039196277,EXAFEL,159.91088833194095,100.0,10.0,exafel_f003,9.999984741210938,68.35744836909343,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
cuszp3,1,9.999984741210938,68.35732366831168,1,136.20493,1571392,5.846943347045167,EXAFEL,135.43396,100.0,10.0,exafel_f003,9.999984741210938,68.35744836909343,4,36,1,0.12695040401225968,9.998779296875,2916,68.45667806788543,ok,,14852.6728515625
roibin_b1,1,99.99998474121094,48.29857795499653,1,88.781696,750608,12.240530343401616,EXAFEL,88.073622,100.0,10.0,exafel_f004,99.99998474121094,48.30996511519958,4,75,1,0.2644800083588743,9.999473571777344,6075,68.3322119660765,ok,,14945.138671875
roibin_b2,n/a,8009.451171875,44.65897479224983,2,114.43603,160720,57.16674962667994,EXAFEL,101.31263,100.0,10.0,exafel_f004,8009.451171875,44.67042679808855,4,75,1,0.2644800083588743,9.999473571777344,6075,68.3322119660765,ok,,14945.138671875
cuszhi,1,10.0,68.26321255675349,1,27.112850203910597,1292364,7.109328331646502,EXAFEL,29.348870489624858,100.0,10.0,exafel_f004,10.0,68.26311331440809,4,75,1,0.2644800083588743,9.998302459716797,6075,68.22584973644307,ok,spline/cr-first/cr,14945.138671875
pfpl,1,9.999980926513672,68.47091417949551,1,175.76981940618302,1488251,6.173582278795714,EXAFEL,161.71219374823994,100.0,10.0,exafel_f004,9.999980926513672,68.47054143505714,4,75,1,0.2644800083588743,9.999473571777344,6075,68.3322119660765,ok,,14945.138671875
cuszp3,1,9.999980926513672,68.47091417949551,1,135.81835,1530080,6.0048102060023005,EXAFEL,127.10049,100.0,10.0,exafel_f004,9.999980926513672,68.47054143505714,4,75,1,0.2644800083588743,9.999473571777344,6075,68.3322119660765,ok,,14945.138671875
roibin_b1,1,99.99993133544922,48.92316346832203,1,86.118776,809696,11.347271074576136,EXAFEL,89.978061,100.0,10.0,exafel_f005,99.99993133544922,48.97703406562338,4,355,1,1.24477570353859,9.999908447265625,28592,69.07473594000592,ok,,16327.5634765625
roibin_b2,n/a,7290.1904296875,44.75586382934196,2,113.48617,204928,44.83447845096814,EXAFEL,100.81461,100.0,10.0,exafel_f005,7290.1904296875,44.8100605353954,4,355,1,1.24477570353859,9.999908447265625,28592,69.07473594000592,ok,,16327.5634765625
cuszhi,1,9.999990224838257,69.0294346556363,1,26.131996183092124,1337312,6.870378789691561,EXAFEL,27.82709827485947,100.0,10.0,exafel_f005,9.999990224838257,69.029513161345,4,355,1,1.24477570353859,9.999801635742188,28592,69.03574599799718,ok,spline/cr-first/cr,16327.5634765625
pfpl,1,10.0,69.16891059255356,1,175.3404580152672,1541153,5.9616663627816315,EXAFEL,161.16755543081672,100.0,10.0,exafel_f005,10.0,69.16772568866602,4,355,1,1.24477570353859,9.999908447265625,28592,69.07473594000592,ok,,16327.5634765625
cuszp3,1,10.0,69.16891059255356,1,137.24665,1586976,5.789526747726494,EXAFEL,136.52877,100.0,10.0,exafel_f005,10.0,69.16772568866602,4,355,1,1.24477570353859,9.999908447265625,28592,69.07473594000592,ok,,16327.5634765625
roibin_b1,1,99.9996109008789,44.414667750040934,1,93.738164,267056,34.404169911928584,EXAFEL,94.014408,100.0,10.0,exafel_f006,99.9996109008789,44.4212314399771,4,44,1,0.15516160490387296,9.99441146850586,3564,60.15123823425362,ok,,4823.81396484375
roibin_b2,n/a,471.09295654296875,43.69346398566134,2,99.109426,20048,458.29209896249,EXAFEL,77.079195,100.0,10.0,exafel_f006,471.09295654296875,43.7000552357532,4,44,1,0.15516160490387296,9.99441146850586,3564,60.15123823425362,ok,,4823.81396484375
cuszhi,1,9.999988555908203,58.661498381043245,1,28.107039883752055,842713,10.902691663709946,EXAFEL,33.660023446658855,100.0,10.0,exafel_f006,9.999988555908203,58.661232059093706,4,44,1,0.15516160490387296,9.999705910682678,3564,58.49315666868348,ok,spline/cr-first/cr,4823.81396484375
pfpl,1,9.999996185302734,60.86986236878157,1,178.55721393034827,949620,9.675280638571218,EXAFEL,162.67422096317281,100.0,10.0,exafel_f006,9.999996185302734,60.868649951850614,4,44,1,0.15516160490387296,9.99441146850586,3564,60.15123823425362,ok,,4823.81396484375
cuszp3,1,9.999996185302734,60.86986236878157,1,138.50459,1136464,8.084585169437835,EXAFEL,131.82736,100.0,10.0,exafel_f006,9.999996185302734,60.868649951850614,4,44,1,0.15516160490387296,9.99441146850586,3564,60.15123823425362,ok,,4823.81396484375
roibin_b1,1,99.99999237060547,48.54957502920129,1,85.148278,790752,11.61911699243252,EXAFEL,89.501247,100.0,10.0,exafel_f007,99.99999237060547,48.556983291015904,4,49,1,0.1720970325996099,9.996917724609375,3953,68.70385305194213,ok,,15725.0302734375
roibin_b2,n/a,2537.843505859375,44.00282693634948,2,114.29936,176768,51.976828385228096,EXAFEL,104.90318,100.0,10.0,exafel_f007,2537.843505859375,44.010282091160356,4,49,1,0.1720970325996099,9.996917724609375,3953,68.70385305194213,ok,,15725.0302734375
cuszhi,1,10.0,68.7027802527867,1,26.61090289805541,1360552,6.7530237727040205,EXAFEL,28.760893518982268,100.0,10.0,exafel_f007,10.0,68.70276344712317,4,49,1,0.1720970325996099,9.998825073242188,3953,68.69302597056814,ok,spline/cr-first/cr,15725.0302734375
pfpl,1,9.999992370605469,68.80984686110415,1,173.01596866526063,1563948,5.8747733300595675,EXAFEL,161.2128017967434,100.0,10.0,exafel_f007,9.999992370605469,68.80966220863542,4,49,1,0.1720970325996099,9.996917724609375,3953,68.70385305194213,ok,,15725.0302734375
cuszp3,1,9.999992370605469,68.80984686110415,1,134.60854,1605312,5.723398317585616,EXAFEL,133.23433,100.0,10.0,exafel_f007,9.999992370605469,68.80966220863542,4,49,1,0.1720970325996099,9.996917724609375,3953,68.70385305194213,ok,,15725.0302734375
roibin_b1,1,99.99993133544922,48.57427920607311,1,82.411022,802048,11.455473986594319,EXAFEL,88.891643,100.0,10.0,exafel_f008,99.99993133544922,48.5768600095085,4,17,1,0.05994880189467819,9.965850830078125,1377,69.01802508213382,ok,,15847.154296875
roibin_b2,n/a,1692.660888671875,43.67585773696756,2,117.04851,178304,51.52907394113424,EXAFEL,102.65284,100.0,10.0,exafel_f008,1692.660888671875,43.67845444714512,4,17,1,0.05994880189467819,9.965850830078125,1377,69.01802508213382,ok,,15847.154296875
cuszhi,1,10.0,68.7701033917963,1,27.437526876582734,1389347,6.613063547119618,EXAFEL,28.781074578989575,100.0,10.0,exafel_f008,10.0,68.77004262099035,4,17,1,0.05994880189467819,9.9910888671875,1377,68.66989650985809,ok,spline/cr-first/cr,15847.154296875
pfpl,1,10.0,68.84694966251921,1,174.4879975691279,1587845,5.786358240256448,EXAFEL,154.65661190412067,100.0,10.0,exafel_f008,10.0,68.84705022765806,4,17,1,0.05994880189467819,9.965850830078125,1377,69.01802508213382,ok,,15847.154296875
cuszp3,1,10.0,68.84694966251921,1,133.4821,1627024,5.647021801768136,EXAFEL,134.04295,100.0,10.0,exafel_f008,10.0,68.84705022765806,4,17,1,0.05994880189467819,9.965850830078125,1377,69.01802508213382,ok,,15847.154296875
roibin_b1,1,99.99996948242188,48.69376544978053,1,83.319793,787264,11.670595886513292,EXAFEL,89.11235,100.0,10.0,exafel_f009,99.99996948242188,48.72660604978597,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
roibin_b2,n/a,8173.2705078125,44.603006680371216,2,116.95315,186480,49.26984126984127,EXAFEL,103.20633,100.0,10.0,exafel_f009,8173.2705078125,44.636044058882405,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
cuszhi,1,10.0,68.7629207131775,1,26.140062876082904,1331081,6.902540115890768,EXAFEL,28.33793920252665,100.0,10.0,exafel_f009,10.0,68.76311495739182,4,217,1,0.7607011005851212,9.998260498046875,17473,68.78853039543107,ok,spline/cr-first/cr,15828.1748046875
pfpl,1,9.999969482421875,68.914001011644,1,174.70033465165804,1527757,6.0139406986844115,EXAFEL,161.03196859226023,100.0,10.0,exafel_f009,9.999969482421875,68.91336443169826,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
cuszp3,1,9.999969482421875,68.914001011644,1,132.9875,1574016,5.83719606408067,EXAFEL,128.46532,100.0,10.0,exafel_f009,9.999969482421875,68.91336443169826,4,217,1,0.7607011005851212,9.9998779296875,17473,68.83110770201128,ok,,15828.1748046875
roibin_b1,1,99.99993896484375,45.66936598503227,1,86.222223,792912,11.587464939362754,EXAFEL,86.041354,100.0,10.0,exafel_f010,99.99993896484375,45.671794440410466,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
roibin_b2,n/a,1910.32666015625,40.96318907170556,2,112.11246,175024,52.49474357802359,EXAFEL,100.32146,100.0,10.0,exafel_f010,1910.32666015625,40.96563249988764,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
cuszhi,1,10.0,65.84168243785996,1,27.188951410887903,1376305,6.675729580289253,EXAFEL,28.676154806491883,100.0,10.0,exafel_f010,10.0,65.84180697966805,4,16,1,0.05642240178322653,9.98052978515625,1296,66.06821721055577,ok,spline/cr-first/cr,11307.9609375
pfpl,1,9.999977111816406,65.93545869239279,1,174.91318915625953,1575238,5.832667825433363,EXAFEL,161.48481439820023,100.0,10.0,exafel_f010,9.999977111816406,65.93550445373691,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
cuszp3,1,9.999977111816406,65.93545869239279,1,133.85548,1615168,5.688473273368467,EXAFEL,133.29619,100.0,10.0,exafel_f010,9.999977111816406,65.93550445373691,4,16,1,0.05642240178322653,9.981903076171875,1296,66.01733006143414,ok,,11307.9609375
roibin_b1,1,99.99996948242188,48.82185299805026,1,83.684056,819360,11.21343487600078,EXAFEL,90.631316,100.0,10.0,exafel_f011,99.99996948242188,48.84764970603601,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
roibin_b2,n/a,4217.87744140625,44.00028136882498,2,115.6809,194848,47.15388405321071,EXAFEL,101.1342,100.0,10.0,exafel_f011,4217.87744140625,44.02624476549633,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
cuszhi,1,10.0,69.01848101062988,1,26.346118553863093,1388232,6.618375026652606,EXAFEL,27.797463452415528,100.0,10.0,exafel_f011,10.0,69.01840411490984,4,170,1,0.5979207300083589,9.999980926513672,13734,69.00563938034409,ok,spline/cr-first/cr,16301.8876953125
pfpl,1,9.999984741210938,69.09659926800933,1,175.2869352869353,1586852,5.7899791536954925,EXAFEL,162.21468926553672,100.0,10.0,exafel_f011,9.999984741210938,69.09624047429746,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
cuszp3,1,9.999984741210938,69.09659926800933,1,135.05175,1627600,5.645023347259769,EXAFEL,130.6873,100.0,10.0,exafel_f011,9.999984741210938,69.09624047429746,4,170,1,0.5979207300083589,9.99652099609375,13734,69.03700070122848,ok,,16301.8876953125
roibin_b1,1,99.99984741210938,48.780567713453785,1,87.48324,852224,10.781015319915891,EXAFEL,92.949174,100.0,10.0,exafel_f012,99.99984741210938,48.820573529016755,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
roibin_b2,n/a,10287.6748046875,43.50142392308295,2,117.19184,211008,43.54261449802851,EXAFEL,102.43311,100.0,10.0,exafel_f012,10287.6748046875,43.5417013024465,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
cuszhi,1,10.0,68.99453442022394,1,26.070970002823366,1415553,6.4906365215573,EXAFEL,27.95171339563863,100.0,10.0,exafel_f012,10.0,68.99478263496664,4,264,1,0.9257453329618278,9.99981689453125,21264,69.02142918033232,ok,spline/cr-first/cr,16267.1318359375
pfpl,1,10.0,69.05149881106748,1,176.63488157490002,1616198,5.684848019858953,EXAFEL,161.53023909985936,100.0,10.0,exafel_f012,10.0,69.0509923899836,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
cuszp3,1,10.0,69.05149881106748,1,133.7931,1656176,5.547622957946499,EXAFEL,131.88792,100.0,10.0,exafel_f012,10.0,69.0509923899836,4,264,1,0.9257453329618278,9.999755859375,21264,68.99713317780939,ok,,16267.1318359375
roibin_b1,1,99.99993896484375,46.75998000131311,1,86.37786,921056,9.975332661640552,EXAFEL,87.270519,100.0,10.0,exafel_f013,99.99993896484375,46.76559518619571,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
roibin_b2,n/a,5725.7919921875,40.07309854233554,2,114.71035,209040,43.95254496747034,EXAFEL,99.487176,100.0,10.0,exafel_f013,5725.7919921875,40.078756972621214,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
cuszhi,1,10.0,66.85579543431717,1,26.57914796552288,1504382,6.107384959405257,EXAFEL,27.333047741444144,100.0,10.0,exafel_f013,10.0,66.85569737545387,4,37,1,0.13047680412371132,9.999417304992676,2997,66.7812832132364,ok,spline/cr-first/cr,12721.2431640625
pfpl,1,10.0,66.86756583078224,1,176.25537139349294,1715662,5.355273940904444,EXAFEL,160.94170403587444,100.0,10.0,exafel_f013,10.0,66.86759654611697,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
cuszp3,1,10.0,66.86756583078224,1,135.11529,1758976,5.223402707029544,EXAFEL,130.21315,100.0,10.0,exafel_f013,10.0,66.86759654611697,4,37,1,0.13047680412371132,9.9931640625,2997,66.89117061914797,ok,,12721.2431640625
roibin_b1,1,99.99994659423828,48.715133928549044,1,86.37786,853168,10.769086510511412,EXAFEL,89.557081,100.0,10.0,exafel_f014,99.99994659423828,48.73608417375735,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
roibin_b2,n/a,5497.1083984375,43.26507009390217,2,114.11764,201776,45.534850527317424,EXAFEL,107.41489,100.0,10.0,exafel_f014,5497.1083984375,43.286164601283446,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
cuszhi,1,10.000015258789062,68.92564367428912,1,26.551573167648016,1431082,6.420205131501898,EXAFEL,27.82170542635659,100.0,10.0,exafel_f014,10.000015258789062,68.92556031862148,4,138,1,0.4858595709111173,9.999954223632812,11160,68.908520979172,ok,spline/cr-first/cr,16127.595703125
pfpl,1,10.0,68.96352154022799,1,174.4879975691279,1635882,5.616444217859234,EXAFEL,157.88836953533132,100.0,10.0,exafel_f014,10.0,68.96335828872996,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
cuszp3,1,10.0,68.96352154022799,1,135.05175,1671136,5.497960668670892,EXAFEL,133.04913,100.0,10.0,exafel_f014,10.0,68.96335828872996,4,138,1,0.4858595709111173,9.998046875,11160,68.93004967553038,ok,,16127.595703125
roibin_b1,1,100.00000762939453,48.63588045778361,1,86.717002,817968,11.232517653502338,EXAFEL,88.344614,100.0,10.0,exafel_f015,100.00000762939453,48.6474247201467,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
roibin_b2,n/a,7664.4775390625,43.580195217743054,2,117.91376,187152,49.09292981106267,EXAFEL,107.85875,100.0,10.0,exafel_f015,7664.4775390625,43.59181564215706,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
cuszhi,1,10.0,68.83759775815716,1,26.771602609023773,1397985,6.572202133785413,EXAFEL,28.55636779551444,100.0,10.0,exafel_f015,10.0,68.83737683729699,4,76,1,0.268006408470326,9.999603271484375,6156,68.75593704668428,ok,spline/cr-first/cr,15968.935546875
pfpl,1,10.0,68.90269454708091,1,141.82267226475673,1598211,5.748827908204862,EXAFEL,161.94021432600113,100.0,10.0,exafel_f015,10.0,68.90259037994399,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
cuszp3,1,10.0,68.90269454708091,1,135.56185,1638208,5.608469742547955,EXAFEL,125.76435,100.0,10.0,exafel_f015,10.0,68.90259037994399,4,76,1,0.268006408470326,9.998291015625,6156,68.86399957195201,ok,,15968.935546875
roibin_b1,1,100.00003051757812,48.857499760038124,1,79.822076,921344,9.972214504028896,EXAFEL,79.5126,100.0,10.0,exafel_f016,100.00003051757812,48.896506390163715,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
roibin_b2,n/a,8991.35546875,42.565205924614176,2,109.21263,227744,40.34284108472671,EXAFEL,99.315119,100.0,10.0,exafel_f016,8991.35546875,42.6045015619684,4,256,1,0.9027584285316245,9.9998779296875,20736,69.05864952147755,ok,,16282.23046875
cuszhi,1,10.0,69.00279074300977,1,26.360934182590235,1481924,6.199940077898732,EXAFEL,27.017973087418838,100.0,10.0,exafel_f016,10.0,69.00266092014279,4,256,1,0.9027584285316245,9.999664306640625,20736,68.98843359822494,ok,spline/cr-first/cr,16282.23046875
