arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,49.99998474121094,50.57021426491663,1,86.067146,776688,11.829511979070103,EXAFEL,87.350164,50.0,10.0,exafel_f000,49.99998474121094,50.586058246617014,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b2,n/a,2137.54150390625,45.641444934665245,2,111.98128,162848,56.41972882688151,EXAFEL,99.487176,50.0,10.0,exafel_f000,2137.54150390625,45.65774794484972,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszhi,1,9.999996185302734,63.84592930131675,1,27.173552350221964,1066504,8.614913774350589,EXAFEL,29.850808338098457,50.0,10.0,exafel_f000,9.999996185302734,63.845930901534885,4,108,1,0.37967574533296183,9.994696855545044,8721,63.84635079136871,ok,spline/cr-first/cr,8963.193359375
pfpl,1,9.999984741210938,64.83178648402334,1,177.07061362935553,1247861,7.362871345446328,EXAFEL,159.24570160843038,50.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
cuszp3,1,9.999984741210938,64.83178648402334,1,137.05013,1323696,6.941049908740376,EXAFEL,136.91942,50.0,10.0,exafel_f000,9.999984741210938,64.83029491546989,4,108,1,0.37967574533296183,9.997665405273438,8721,64.45563595181176,ok,,8963.193359375
roibin_b1,1,50.0,52.80303237660783,1,87.91182,845072,10.872257038453528,EXAFEL,95.262113,50.0,10.0,exafel_f001,50.0,52.81300053840573,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
roibin_b2,n/a,3740.4931640625,46.7476382921806,2,115.17048,181472,50.62951860342091,EXAFEL,106.10495,50.0,10.0,exafel_f001,3740.4931640625,46.75792559913412,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszhi,1,9.999987602233887,66.53637620922768,1,26.793775033937525,1171025,7.845981084946948,EXAFEL,30.205670401346588,50.0,10.0,exafel_f001,9.999987602233887,66.5364223000752,4,68,1,0.23901156310950125,9.99908447265625,5490,66.55570298721969,ok,spline/cr-first/cr,12237.861328125
pfpl,1,10.0,67.04594218609664,1,177.6183111660996,1368753,6.712562456484114,EXAFEL,162.72031737035988,50.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
cuszp3,1,10.0,67.04594218609664,1,139.51409,1407632,6.527160507860009,EXAFEL,135.94697,50.0,10.0,exafel_f001,10.0,67.04507502794957,4,68,1,0.23901156310950125,9.998992919921875,5490,66.69745879791057,ok,,12237.861328125
