arm,bg_bound_ok,bg_max_abs_err,bg_psnr_db,bin_factor,cmp_gbs,compressed_bytes,cr,dataset,dec_gbs,eb_bg,eb_roi,frame,global_max_abs_err,global_psnr_db,half_width,npeaks,roi_bound_ok,roi_frac_pct,roi_max_abs_err,roi_pixels,roi_psnr_db,status,tuning,value_range
roibin_b1,1,49.99998474121094,50.57021426491663,1,84.771185,777760,11.813207159020777,EXAFEL,88.809157,50.0,5.0,exafel_f000,49.99998474121094,50.5865424398421,4,108,1,0.37967574533296183,4.9997406005859375,8721,69.91847377827096,ok,,8963.193359375
roibin_b2,n/a,2137.54150390625,45.641444934665245,2,110.77161,163920,56.050756466569055,EXAFEL,109.71342,50.0,5.0,exafel_f000,2137.54150390625,45.65790360278006,4,108,1,0.37967574533296183,4.9997406005859375,8721,69.91847377827096,ok,,8963.193359375
cuszhi,1,5.000001490116119,69.84447376668395,1,26.707556178264706,1349548,6.808086855747257,EXAFEL,28.676154806491883,50.0,5.0,exafel_f000,5.000001490116119,69.84448792257275,4,108,1,0.37967574533296183,4.9995880126953125,8721,69.84820377730064,ok,spline/cr-first/cr,8963.193359375
pfpl,1,4.999985694885254,69.9725324735994,1,177.67326732673268,1635584,5.61746752230396,EXAFEL,162.62815066553387,50.0,5.0,exafel_f000,4.999985694885254,69.97232594803086,4,108,1,0.37967574533296183,4.9997406005859375,8721,69.91847377827096,ok,,8963.193359375
cuszp3,1,4.999985694885254,69.9725324735994,1,135.05175,1600864,5.739300777580107,EXAFEL,126.42888,50.0,5.0,exafel_f000,4.999985694885254,69.97232594803086,4,108,1,0.37967574533296183,4.9997406005859375,8721,69.91847377827096,ok,,8963.193359375
roibin_b1,1,50.0,52.80303237660783,1,87.589993,845760,10.86341278849792,EXAFEL,89.473357,50.0,5.0,exafel_f001,50.0,52.81331405854697,4,68,1,0.23901156310950125,4.999641418457031,5490,72.5267509960737,ok,,12237.861328125
roibin_b2,n/a,3740.4931640625,46.7476382921806,2,112.15625,182160,50.43829600351339,EXAFEL,103.9913,50.0,5.0,exafel_f001,3740.4931640625,46.75800335732794,4,68,1,0.23901156310950125,4.999641418457031,5490,72.5267509960737,ok,,12237.861328125
cuszhi,1,5.0,72.5460353690237,1,26.410490792960914,1449279,6.339593687619844,EXAFEL,28.530829234361804,50.0,5.0,exafel_f001,5.0,72.54603650054716,4,68,1,0.23901156310950125,4.99810791015625,5490,72.54650881264016,ok,spline/cr-first/cr,12237.861328125
pfpl,1,5.0,72.60550366769576,1,174.17045799211405,1722175,5.335021121546881,EXAFEL,160.8966096945923,50.0,5.0,exafel_f001,5.0,72.60531372688185,4,68,1,0.23901156310950125,4.999641418457031,5490,72.5267509960737,ok,,12237.861328125
cuszp3,1,5.0,72.60550366769576,1,134.16822,1685824,5.450058843627804,EXAFEL,134.48244,50.0,5.0,exafel_f001,5.0,72.60531372688185,4,68,1,0.23901156310950125,4.999641418457031,5490,72.5267509960737,ok,,12237.861328125
roibin_b1,1,49.999969482421875,51.38027446145209,1,83.708454,984368,9.333745103457243,EXAFEL,87.938746,50.0,5.0,exafel_f002,49.999969482421875,51.383547606792106,4,22,1,0.07610058512120367,4.999298095703125,1748,71.37447814238377,ok,,10702.7490234375
roibin_b2,n/a,1578.022705078125,42.83609373794771,2,110.64355,208240,44.12139838647714,EXAFEL,103.9913,50.0,5.0,exafel_f002,1578.022705078125,42.83939537168164,4,22,1,0.07610058512120367,4.999298095703125,1748,71.37447814238377,ok,,10702.7490234375
cuszhi,1,5.000007629394531,71.38314013486988,1,26.210158467529133,1618147,5.678000824399761,EXAFEL,27.233235322014608,50.0,5.0,exafel_f002,5.000007629394531,71.38305973139198,4,22,1,0.07610058512120367,4.9953765869140625,1748,71.27874965831045,ok,spline/cr-first/cr,10702.7490234375
pfpl,1,5.0,71.39208210379834,1,175.17998779743746,1854837,4.953448739700577,EXAFEL,161.12233445566778,50.0,5.0,exafel_f002,5.0,71.39206867991318,4,22,1,0.07610058512120367,4.999298095703125,1748,71.37447814238377,ok,,10702.7490234375
cuszp3,1,5.0,71.39208210379834,1,130.92568,1857008,4.947657737608023,EXAFEL,134.04295,50.0,5.0,exafel_f002,5.0,71.39206867991318,4,22,1,0.07610058512120367,4.999298095703125,1748,71.37447814238377,ok,,10702.7490234375
roibin_b1,1,49.99998092651367,54.22944610749288,1,86.403854,979984,9.3755000081634,EXAFEL,87.48324,50.0,5.0,exafel_f003,49.99998092651367,54.23490807752404,4,36,1,0.12695040401225968,4.9998779296875,2916,74.25192809340999,ok,,14852.6728515625
roibin_b2,n/a,2545.838623046875,45.78881490654037,2,111.11456,208560,44.053701572688915,EXAFEL,104.10442,50.0,5.0,exafel_f003,2545.838623046875,45.79432393086246,4,36,1,0.12695040401225968,4.9998779296875,2916,74.25192809340999,ok,,14852.6728515625
cuszhi,1,5.0,74.22512049583113,1,26.816923442888267,1616664,5.683209374365978,EXAFEL,27.224197601099892,50.0,5.0,exafel_f003,5.0,74.22509881690924,4,36,1,0.12695040401225968,4.999078750610352,2916,74.20807725281625,ok,spline/cr-first/cr,14852.6728515625
pfpl,1,5.0,74.2384934954297,1,175.6085626911315,1848718,4.969843967549404,EXAFEL,161.66666666666666,50.0,5.0,exafel_f003,5.0,74.23851052438702,4,36,1,0.12695040401225968,4.9998779296875,2916,74.25192809340999,ok,,14852.6728515625
cuszp3,1,5.0,74.2384934954297,1,133.4821,1850112,4.966099349660993,EXAFEL,134.48244,50.0,5.0,exafel_f003,5.0,74.23851052438702,4,36,1,0.12695040401225968,4.9998779296875,2916,74.25192809340999,ok,,14852.6728515625
roibin_b1,1,49.99998092651367,54.309263552256944,1,84.596347,949232,9.679235424005933,EXAFEL,89.75305,50.0,5.0,exafel_f004,49.99998092651367,54.32064843384617,4,75,1,0.2644800083588743,4.99993896484375,6075,74.25715264791117,ok,,14945.138671875
roibin_b2,n/a,7909.451171875,46.46168154360368,2,110.9857,204272,44.978460092425784,EXAFEL,108.59304,50.0,5.0,exafel_f004,7909.451171875,46.473163847807015,4,75,1,0.2644800083588743,4.99993896484375,6075,74.25715264791117,ok,,14945.138671875
cuszhi,1,5.0,74.28265089659088,1,26.39057758399074,1576720,5.827185549748846,EXAFEL,27.590448277518863,50.0,5.0,exafel_f004,5.0,74.28278706757713,4,75,1,0.2644800083588743,4.99896240234375,6075,74.3344440085872,ok,spline/cr-first/cr,14945.138671875
pfpl,1,4.9999847412109375,74.29944072366388,1,176.03923973022683,1814575,5.063356433324608,EXAFEL,161.30337078651687,50.0,5.0,exafel_f004,4.9999847412109375,74.29932833531944,4,75,1,0.2644800083588743,4.99993896484375,6075,74.25715264791117,ok,,14945.138671875
cuszp3,1,4.9999847412109375,74.29944072366388,1,134.04295,1807616,5.082849454751452,EXAFEL,133.4821,50.0,5.0,exafel_f004,4.9999847412109375,74.29932833531944,4,75,1,0.2644800083588743,4.99993896484375,6075,74.25715264791117,ok,,14945.138671875
roibin_b1,1,50.0,55.05488447473819,1,86.638501,1027792,8.93939629808366,EXAFEL,88.208907,50.0,5.0,exafel_f005,50.0,55.10873553532062,4,355,1,1.24477570353859,4.9999542236328125,28592,75.04883141064437,ok,,16327.5634765625
roibin_b2,n/a,7290.1904296875,46.453416631218225,2,115.40193,249296,36.85514408574546,EXAFEL,107.57587,50.0,5.0,exafel_f005,7290.1904296875,46.507740190762625,4,355,1,1.24477570353859,4.9999542236328125,28592,75.04883141064437,ok,,16327.5634765625
cuszhi,1,5.0,75.05166152628622,1,26.22609410502038,1626621,5.648420867553044,EXAFEL,27.00145765740349,50.0,5.0,exafel_f005,5.0,75.05185932414378,4,355,1,1.24477570353859,4.99981689453125,28592,75.06758054518517,ok,spline/cr-first/cr,16327.5634765625
pfpl,1,5.0,75.05975515688162,1,175.6085626911315,1861679,4.9352439384018405,EXAFEL,162.3981900452489,50.0,5.0,exafel_f005,5.0,75.05961901172367,4,355,1,1.24477570353859,4.9999542236328125,28592,75.04883141064437,ok,,16327.5634765625
cuszp3,1,5.0,75.05975515688162,1,134.29373,1865600,4.924871355060034,EXAFEL,125.87462,50.0,5.0,exafel_f005,5.0,75.05961901172367,4,355,1,1.24477570353859,4.9999542236328125,28592,75.04883141064437,ok,,16327.5634765625
roibin_b1,1,49.999996185302734,47.304764918822386,1,91.790279,579456,15.855975259553789,EXAFEL,91.381287,50.0,5.0,exafel_f006,49.999996185302734,47.31138659397419,4,44,1,0.15516160490387296,4.997252464294434,3564,64.72851904197628,ok,,4823.81396484375
roibin_b2,n/a,462.16107177734375,44.15805102390259,2,112.24394,89376,102.79985678481918,EXAFEL,106.57758,50.0,5.0,exafel_f006,462.16107177734375,44.16473565755983,4,44,1,0.15516160490387296,4.997252464294434,3564,64.72851904197628,ok,,4823.81396484375
cuszhi,1,4.999998450279236,64.47253692459303,1,27.34618618529239,1091651,8.416462770610753,EXAFEL,30.32850955952255,50.0,5.0,exafel_f006,4.999998450279236,64.47240634346733,4,44,1,0.15516160490387296,4.999694347381592,3564,64.38918257048384,ok,spline/cr-first/cr,4823.81396484375
pfpl,1,4.999996185302734,64.81179085957956,1,176.79802955665025,1407402,6.528227187399193,EXAFEL,161.66666666666666,50.0,5.0,exafel_f006,4.999996185302734,64.81166040899535,4,44,1,0.15516160490387296,4.997252464294434,3564,64.72851904197628,ok,,4823.81396484375
